state,frequency,relative_frequency,cumulative_frequency
California,118,0.6666666666666666,0.6666666666666666
Nevada,17,0.096045197740113,0.7627118644067796
Colorado,11,0.062146892655367235,0.8248587570621468
Oregon,11,0.062146892655367235,0.887005649717514
Arizona,9,0.05084745762711865,0.9378531073446327
Utah,5,0.02824858757062147,0.9661016949152541
Virginia,4,0.022598870056497175,0.9887005649717513
Kansas,1,0.005649717514124294,0.9943502824858755
Wyoming,1,0.005649717514124294,0.9999999999999998
